iter	Passed	Remaining
0	0	64
1	1	79
2	2	79
3	3	79
4	4	82
5	5	84
6	6	80
7	6	76
8	7	75
9	8	75
10	9	73
11	9	70
12	10	68
13	10	66
14	11	66
15	12	64
16	12	63
17	13	61
18	14	61
19	16	65
20	17	64
21	17	62
22	18	61
23	19	60
24	19	59
25	20	58
26	21	56
27	21	55
28	22	54
29	23	53
30	23	52
31	24	51
32	24	50
33	25	50
34	27	51
35	28	50
36	29	49
37	29	48
38	30	47
39	30	46
40	31	46
41	32	44
42	32	43
43	33	42
44	34	41
45	35	41
46	35	40
47	36	39
48	37	38
49	39	39
50	39	38
51	40	37
52	41	36
53	42	36
54	42	35
55	43	34
56	44	33
57	44	32
58	45	31
59	46	30
60	47	30
61	47	29
62	48	28
63	50	28
64	51	27
65	51	26
66	52	25
67	53	25
68	53	24
69	54	23
70	55	22
71	55	21
72	56	20
73	57	20
74	57	19
75	58	18
76	59	17
77	60	17
78	61	16
79	62	15
80	63	14
81	63	13
82	64	13
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	69	6
91	70	6
92	71	5
93	73	4
94	73	3
95	74	3
96	74	2
97	76	1
98	76	0
99	77	0
